ID	Class
AT5G38850	siRNA-NLR
AT5G43740	siRNA-NLR
AT1G12290	siRNA-NLR
AT5G43730	siRNA-NLR
AT4G10780	non-siRNA-NLR
AT4G16920	non-siRNA-NLR
AT4G16950	non-siRNA-NLR
AT4G16990	non-siRNA-NLR
AT5G63020	non-siRNA-NLR
AT1G58602	non-siRNA-NLR
AT4G16860	non-siRNA-NLR
AT4G16890	non-siRNA-NLR
AT1G12220	non-siRNA-NLR
AT1G56510	non-siRNA-NLR
AT4G16960	non-siRNA-NLR
AT1G63750	non-siRNA-NLR
AT1G63360	non-siRNA-NLR
AT4G16940	non-siRNA-NLR
AT1G59780	non-siRNA-NLR
AT1G51480	non-siRNA-NLR
AT1G62630	non-siRNA-NLR
AT5G47260	non-siRNA-NLR
AT1G57650	non-siRNA-NLR
AT1G63870	non-siRNA-NLR
AT4G08450	non-siRNA-NLR
AT5G40910	non-siRNA-NLR
AT5G51630	non-siRNA-NLR
AT4G19530	non-siRNA-NLR
AT5G45230	non-siRNA-NLR
AT2G14080	non-siRNA-NLR
AT1G63860	non-siRNA-NLR
AT4G33300	non-siRNA-NLR
AT1G12280	non-siRNA-NLR
AT1G61180	non-siRNA-NLR
AT1G61310	non-siRNA-NLR
AT5G43470	non-siRNA-NLR
AT1G61190	non-siRNA-NLR
AT3G50950	non-siRNA-NLR
AT1G61300	non-siRNA-NLR
AT1G15890	non-siRNA-NLR
AT5G41550	non-siRNA-NLR
AT1G58807	non-siRNA-NLR
AT1G59124	non-siRNA-NLR
AT1G63740	non-siRNA-NLR
AT5G48620	non-siRNA-NLR
AT3G44400	non-siRNA-NLR
AT3G04210	non-siRNA-NLR
AT1G58848	non-siRNA-NLR
AT1G59218	non-siRNA-NLR
AT1G17600	non-siRNA-NLR
AT3G46530	non-siRNA-NLR
AT5G58120	non-siRNA-NLR
AT4G16900	non-siRNA-NLR
AT1G56520	non-siRNA-NLR
AT3G25510	non-siRNA-NLR
AT4G11170	non-siRNA-NLR
AT5G45050	non-siRNA-NLR
AT3G44480	non-siRNA-NLR
AT1G12210	non-siRNA-NLR
AT1G63880	non-siRNA-NLR
AT4G19520	non-siRNA-NLR
AT3G44630	non-siRNA-NLR
AT1G31540	non-siRNA-NLR
AT5G49140	non-siRNA-NLR
AT5G47250	non-siRNA-NLR
AT5G46490	non-siRNA-NLR
AT5G46470	non-siRNA-NLR
AT5G41750	non-siRNA-NLR
AT4G14370	non-siRNA-NLR
AT3G44670	non-siRNA-NLR
AT5G45260	non-siRNA-NLR
AT5G41740	non-siRNA-NLR
AT5G45490	non-siRNA-NLR
AT1G63730	non-siRNA-NLR
AT5G44870	non-siRNA-NLR
AT5G46510	non-siRNA-NLR
AT5G46270	non-siRNA-NLR
AT5G66910	non-siRNA-NLR
AT1G72910	non-siRNA-NLR
AT5G36930	non-siRNA-NLR
AT5G46520	non-siRNA-NLR
AT2G16870	non-siRNA-NLR
AT5G35450	non-siRNA-NLR
AT1G53350	non-siRNA-NLR
AT4G19500	non-siRNA-NLR
AT4G19510	non-siRNA-NLR
AT1G69550	non-siRNA-NLR
AT5G18360	non-siRNA-NLR
AT5G40060	non-siRNA-NLR
AT4G12010	non-siRNA-NLR
AT1G59620	non-siRNA-NLR
AT5G46260	non-siRNA-NLR
AT4G09360	non-siRNA-NLR
AT3G46730	non-siRNA-NLR
AT4G26090	non-siRNA-NLR
AT4G36140	non-siRNA-NLR
AT1G27170	non-siRNA-NLR
AT5G04720	non-siRNA-NLR
AT5G45060	non-siRNA-NLR
AT1G72840	non-siRNA-NLR
AT1G56540	non-siRNA-NLR
AT5G46450	non-siRNA-NLR
AT1G33560	non-siRNA-NLR
AT5G18370	non-siRNA-NLR
AT5G47280	non-siRNA-NLR
AT5G17890	non-siRNA-NLR
AT3G07040	non-siRNA-NLR
AT1G63350	non-siRNA-NLR
AT5G45440	non-siRNA-NLR
AT5G45240	non-siRNA-NLR
AT5G66900	non-siRNA-NLR
AT5G11250	non-siRNA-NLR
AT2G17060	non-siRNA-NLR
AT5G41540	non-siRNA-NLR
AT1G66090	non-siRNA-NLR
AT5G45250	non-siRNA-NLR
AT1G58400	non-siRNA-NLR
AT1G27180	non-siRNA-NLR
AT1G64070	non-siRNA-NLR
AT5G18350	non-siRNA-NLR
AT5G44510	non-siRNA-NLR
AT1G72940	non-siRNA-NLR
AT4G12020	non-siRNA-NLR
AT1G10920	non-siRNA-NLR
AT1G72900	non-siRNA-NLR
AT5G22690	non-siRNA-NLR
AT1G72890	non-siRNA-NLR
AT4G19060	non-siRNA-NLR
AT3G04220	non-siRNA-NLR
AT1G58410	non-siRNA-NLR
AT5G17680	non-siRNA-NLR
AT1G65850	non-siRNA-NLR
AT5G48770	non-siRNA-NLR
AT3G46710	non-siRNA-NLR
AT5G38340	non-siRNA-NLR
AT3G14470	non-siRNA-NLR
AT5G45210	non-siRNA-NLR
AT4G09430	non-siRNA-NLR
AT4G09420	non-siRNA-NLR
AT1G58390	non-siRNA-NLR
AT3G14460	non-siRNA-NLR
AT4G36150	non-siRNA-NLR
AT1G50180	non-siRNA-NLR
AT1G17610	non-siRNA-NLR
AT4G19050	non-siRNA-NLR
AT5G40100	non-siRNA-NLR
AT5G17880	non-siRNA-NLR
AT5G40090	non-siRNA-NLR
AT1G17615	non-siRNA-NLR
AT1G52660	non-siRNA-NLR
AT1G72850	non-siRNA-NLR
AT1G72860	non-siRNA-NLR
AT1G72870	non-siRNA-NLR
AT1G72950	non-siRNA-NLR
AT2G17050	non-siRNA-NLR
AT3G15700	non-siRNA-NLR
AT3G25505	non-siRNA-NLR
AT3G51560	non-siRNA-NLR
AT3G51570	non-siRNA-NLR
AT4G27190	non-siRNA-NLR
AT4G27220	non-siRNA-NLR
AT5G05400	non-siRNA-NLR
AT5G17970	non-siRNA-NLR
AT5G38350	non-siRNA-NLR
AT5G45200	non-siRNA-NLR
AT5G48780	non-siRNA-NLR
AT5G66630	non-siRNA-NLR
AT1G63080	HS-siRNA-PPR
AT1G63130	HS-siRNA-PPR
AT1G63070	HS-siRNA-PPR
AT1G62914	HS-siRNA-PPR
AT1G62910	HS-siRNA-PPR
AT1G62930	HS-siRNA-PPR
AT1G63150	HS-siRNA-PPR
AT1G62670	HS-siRNA-PPR
AT1G63330	HS-siRNA-PPR
AT1G63400	HS-siRNA-PPR
AT1G62590	HS-siRNA-PPR
AT1G63630	HS-siRNA-PPR
AT1G63230	HS-siRNA-PPR
AT1G12775	non-HS-siRNA-PPR
AT5G16640	non-HS-siRNA-PPR
AT1G63320	HS-siRNA-PPR
AT1G12620	non-HS-siRNA-PPR
AT1G12300	non-HS-siRNA-PPR
AT1G06580	non-siRNA-PPR
AT1G64583	non-siRNA-PPR
AT1G62680	non-siRNA-PPR
AT1G12700	non-siRNA-PPR
AT1G64100	non-siRNA-PPR
AT2G32230	non-siRNA-PPR
AT2G31400	non-siRNA-PPR
AT2G41720	non-siRNA-PPR
AT5G41170	non-siRNA-PPR
AT4G34830	non-siRNA-PPR
AT1G62720	non-siRNA-PPR
AT1G31920	non-siRNA-PPR
AT5G48910	non-siRNA-PPR
AT5G10690	non-siRNA-PPR
AT5G04810	non-siRNA-PPR
AT1G19720	non-siRNA-PPR
AT5G13770	non-siRNA-PPR
AT4G16390	non-siRNA-PPR
AT3G04260	non-siRNA-PPR
AT5G50280	non-siRNA-PPR
AT3G22470	non-siRNA-PPR
AT4G31850	non-siRNA-PPR
AT5G46580	non-siRNA-PPR
AT1G02150	non-siRNA-PPR
AT3G04760	non-siRNA-PPR
AT5G27300	non-siRNA-PPR
AT1G26460	non-siRNA-PPR
AT5G25630	non-siRNA-PPR
AT1G74850	non-siRNA-PPR
AT3G59040	non-siRNA-PPR
AT1G30610	non-siRNA-PPR
AT3G06430	non-siRNA-PPR
AT3G60960	non-siRNA-PPR
AT4G30825	non-siRNA-PPR
AT5G13270	non-siRNA-PPR
AT5G42310	non-siRNA-PPR
AT1G71210	non-siRNA-PPR
AT3G22150	non-siRNA-PPR
AT3G29290	non-siRNA-PPR
AT1G07590	non-siRNA-PPR
AT3G49240	non-siRNA-PPR
AT2G18940	non-siRNA-PPR
AT2G15690	non-siRNA-PPR
AT2G01860	non-siRNA-PPR
AT2G35130	non-siRNA-PPR
AT2G15820	non-siRNA-PPR
AT5G27270	non-siRNA-PPR
AT3G18110	non-siRNA-PPR
AT2G17033	non-siRNA-PPR
AT3G53700	non-siRNA-PPR
AT5G01110	non-siRNA-PPR
AT1G60770	non-siRNA-PPR
AT3G16710	non-siRNA-PPR
AT2G02750	non-siRNA-PPR
AT1G59720	non-siRNA-PPR
AT3G09650	non-siRNA-PPR
AT1G68980	non-siRNA-PPR
AT5G66520	non-siRNA-PPR
AT3G63370	non-siRNA-PPR
AT1G15510	non-siRNA-PPR
AT1G50270	non-siRNA-PPR
AT5G48730	non-siRNA-PPR
AT1G10910	non-siRNA-PPR
AT1G01970	non-siRNA-PPR
AT4G14190	non-siRNA-PPR
AT3G13150	non-siRNA-PPR
AT2G41080	non-siRNA-PPR
AT3G23330	non-siRNA-PPR
AT1G15480	non-siRNA-PPR
AT1G08610	non-siRNA-PPR
AT4G39620	non-siRNA-PPR
AT5G21222	non-siRNA-PPR
AT1G55890	non-siRNA-PPR
AT1G64580	non-siRNA-PPR
AT1G80270	non-siRNA-PPR
AT1G16480	non-siRNA-PPR
AT5G02830	non-siRNA-PPR
AT1G73710	non-siRNA-PPR
AT3G14330	non-siRNA-PPR
AT5G36300	non-siRNA-PPR
AT1G79540	non-siRNA-PPR
